Crop Name,Soil Type,Climate Requirements,Watering Frequency,Fertilizer Type,Pest Control Methods,Harvest Time (Days),Yield per Acre (kg),Market Price (USD/ton)
Barley,Clay Loam,"Warm, Humid",Weekly,Organic Compost,Biological Control,170,2696,436
Barley,Sandy,"Moderate, Dry",Every 3 Days,Organic Compost,Neem Spray,104,4999,510
Barley,Sandy Loam,"Cool, Dry",Weekly,Nitrogen-based,Pesticide Spray,174,4794,475
Tomato,Loamy,"Cool, Moist",Every 2 Days,Nitrogen-based,Pesticide Spray,134,2504,233
Potato,Sandy,"Cool, Dry",Twice a Week,Phosphorus-rich,Biological Control,95,4588,545
Potato,Clay Loam,"Moderate, Dry",Daily,Phosphorus-rich,Manual Removal,68,4777,194
Barley,Clay Loam,"Moderate, Dry",Twice a Week,NPK Mix,Pesticide Spray,151,2802,256
Cotton,Clayey,"Warm, Humid",Every 3 Days,Potassium-rich,Neem Spray,77,3267,234
Onion,Sandy,"Warm, Moderate",Every 3 Days,Organic Compost,Biological Control,92,2345,586
Onion,Clay Loam,"Cool, Dry",Daily,Potassium-rich,Pesticide Spray,180,5842,494
Rice,Clay Loam,"Moderate, Dry",Weekly,Phosphorus-rich,Manual Removal,86,2990,549
Rice,Loamy,"Cool, Moist",Twice a Week,Potassium-rich,Biological Control,94,3005,242
Onion,Clay Loam,"Moderate, Dry",Daily,Nitrogen-based,Crop Rotation,107,2431,582
Sugarcane,Loamy,"Warm, Humid",Weekly,NPK Mix,Crop Rotation,66,4165,180
Soybean,Sandy,"Warm, Moderate",Every 2 Days,Organic Compost,Pesticide Spray,128,5636,319
Sugarcane,Sandy,"Warm, Humid",Every 3 Days,NPK Mix,Manual Removal,97,5209,334
Wheat,Sandy,"Warm, Moderate",Weekly,Nitrogen-based,Neem Spray,104,2202,273
Potato,Sandy,"Warm, Humid",Every 3 Days,Organic Compost,Pesticide Spray,120,2147,384
Cotton,Sandy,"Cool, Moist",Weekly,Potassium-rich,Pesticide Spray,144,3653,458
Rice,Sandy Loam,"Cool, Moist",Twice a Week,Organic Compost,Crop Rotation,90,3125,570
Sugarcane,Sandy Loam,"Warm, Moderate",Every 3 Days,Organic Compost,Biological Control,162,5163,334
Wheat,Clay Loam,"Cool, Dry",Daily,Phosphorus-rich,Biological Control,136,5897,258
Barley,Sandy Loam,"Cool, Dry",Daily,Potassium-rich,Pesticide Spray,66,2766,415
Tomato,Sandy Loam,"Warm, Moderate",Every 2 Days,NPK Mix,Pesticide Spray,115,3425,595
Maize,Sandy,"Warm, Moderate",Weekly,Potassium-rich,Pesticide Spray,116,5550,434
Cotton,Sandy Loam,"Warm, Humid",Every 2 Days,Organic Compost,Pesticide Spray,170,3083,429
Onion,Loamy,"Cool, Moist",Weekly,Phosphorus-rich,Crop Rotation,93,4547,151
Maize,Clayey,"Warm, Moderate",Weekly,Potassium-rich,Neem Spray,138,5611,503
Maize,Clayey,"Cool, Dry",Every 3 Days,Phosphorus-rich,Biological Control,144,2203,485
Soybean,Clay Loam,"Warm, Moderate",Every 3 Days,Organic Compost,Pesticide Spray,154,4816,432
Barley,Sandy Loam,"Cool, Moist",Daily,Phosphorus-rich,Crop Rotation,151,3823,156
Onion,Sandy Loam,"Cool, Moist",Daily,NPK Mix,Pesticide Spray,176,2647,204
Potato,Clayey,"Warm, Moderate",Twice a Week,Organic Compost,Pesticide Spray,172,2033,472
Maize,Clayey,"Warm, Moderate",Weekly,Organic Compost,Biological Control,146,2105,417
Potato,Sandy Loam,"Warm, Moderate",Daily,Organic Compost,Biological Control,150,2202,382
Rice,Clayey,"Cool, Moist",Every 3 Days,Phosphorus-rich,Crop Rotation,140,3411,335
Onion,Sandy,"Cool, Dry",Every 3 Days,Nitrogen-based,Crop Rotation,158,3753,406
Cotton,Sandy,"Warm, Humid",Twice a Week,Potassium-rich,Pesticide Spray,90,3541,225
Rice,Clayey,"Warm, Humid",Every 3 Days,Phosphorus-rich,Neem Spray,119,4558,417
Soybean,Loamy,"Cool, Dry",Daily,Phosphorus-rich,Biological Control,129,4513,595
Barley,Loamy,"Warm, Moderate",Every 2 Days,NPK Mix,Crop Rotation,86,2601,398
Barley,Clayey,"Cool, Dry",Every 2 Days,Nitrogen-based,Biological Control,66,4979,586
Maize,Clay Loam,"Warm, Humid",Twice a Week,Organic Compost,Neem Spray,89,4425,538
Tomato,Loamy,"Warm, Moderate",Every 2 Days,Nitrogen-based,Neem Spray,127,4478,203
Onion,Clay Loam,"Warm, Moderate",Every 3 Days,Phosphorus-rich,Crop Rotation,105,5930,417
Rice,Clayey,"Moderate, Dry",Every 2 Days,Phosphorus-rich,Neem Spray,66,3866,153
Potato,Clay Loam,"Warm, Humid",Every 2 Days,Organic Compost,Crop Rotation,162,4131,196
Tomato,Clayey,"Cool, Moist",Weekly,Phosphorus-rich,Neem Spray,121,3364,237
Cotton,Clayey,"Warm, Moderate",Every 3 Days,Phosphorus-rich,Manual Removal,109,2350,234
Wheat,Sandy,"Moderate, Dry",Daily,Phosphorus-rich,Crop Rotation,146,3272,338
Maize,Clayey,"Moderate, Dry",Twice a Week,Potassium-rich,Pesticide Spray,127,5339,408
Soybean,Loamy,"Cool, Moist",Every 3 Days,Phosphorus-rich,Pesticide Spray,68,5767,274
Onion,Clayey,"Warm, Humid",Twice a Week,Phosphorus-rich,Manual Removal,99,3973,209
Potato,Loamy,"Warm, Humid",Every 2 Days,Organic Compost,Manual Removal,178,4841,368
Cotton,Sandy Loam,"Cool, Moist",Every 3 Days,Nitrogen-based,Pesticide Spray,95,4503,212
Maize,Sandy Loam,"Cool, Dry",Every 3 Days,Phosphorus-rich,Neem Spray,105,4255,251
Wheat,Sandy Loam,"Cool, Dry",Weekly,Potassium-rich,Crop Rotation,96,2961,158
Maize,Clayey,"Cool, Dry",Twice a Week,Potassium-rich,Neem Spray,131,3116,539
Sugarcane,Sandy Loam,"Warm, Humid",Every 2 Days,Potassium-rich,Neem Spray,86,4888,216
Potato,Clay Loam,"Cool, Moist",Twice a Week,NPK Mix,Manual Removal,138,2307,426
Wheat,Clayey,"Moderate, Dry",Daily,Nitrogen-based,Pesticide Spray,83,3714,368
Onion,Sandy,"Warm, Moderate",Daily,Organic Compost,Biological Control,130,3157,291
Soybean,Sandy,"Warm, Moderate",Every 2 Days,Potassium-rich,Crop Rotation,112,4804,180
Maize,Clay Loam,"Cool, Moist",Twice a Week,Phosphorus-rich,Crop Rotation,67,5077,383
Barley,Loamy,"Moderate, Dry",Every 3 Days,Phosphorus-rich,Biological Control,121,3143,256
Onion,Clayey,"Cool, Moist",Daily,NPK Mix,Manual Removal,167,2684,320
Maize,Loamy,"Moderate, Dry",Weekly,Phosphorus-rich,Biological Control,124,2754,287
Potato,Clayey,"Warm, Moderate",Weekly,Phosphorus-rich,Crop Rotation,136,5761,175
Cotton,Clayey,"Warm, Humid",Every 3 Days,Potassium-rich,Manual Removal,158,4905,357
Soybean,Loamy,"Moderate, Dry",Every 3 Days,Nitrogen-based,Neem Spray,76,4988,562
Wheat,Sandy Loam,"Warm, Humid",Twice a Week,Organic Compost,Manual Removal,69,3362,376
Cotton,Clay Loam,"Moderate, Dry",Daily,Organic Compost,Crop Rotation,63,2843,587
Cotton,Clayey,"Warm, Moderate",Twice a Week,Organic Compost,Manual Removal,152,3146,482
Cotton,Loamy,"Cool, Moist",Every 2 Days,NPK Mix,Neem Spray,75,2172,266
Rice,Sandy,"Warm, Moderate",Twice a Week,NPK Mix,Manual Removal,179,2328,577
Sugarcane,Clay Loam,"Warm, Moderate",Daily,Phosphorus-rich,Neem Spray,93,4727,296
Rice,Clayey,"Moderate, Dry",Twice a Week,Nitrogen-based,Manual Removal,64,5889,449
Tomato,Loamy,"Moderate, Dry",Weekly,NPK Mix,Pesticide Spray,81,2859,339
Maize,Loamy,"Warm, Humid",Daily,NPK Mix,Pesticide Spray,156,5593,183
Onion,Sandy,"Moderate, Dry",Every 2 Days,Phosphorus-rich,Manual Removal,87,3169,264
Soybean,Sandy Loam,"Moderate, Dry",Every 2 Days,Organic Compost,Pesticide Spray,170,3292,311
Tomato,Sandy,"Cool, Moist",Weekly,Organic Compost,Crop Rotation,70,2546,276
Cotton,Clay Loam,"Warm, Humid",Every 3 Days,Nitrogen-based,Biological Control,91,4738,352
Cotton,Clayey,"Warm, Moderate",Every 3 Days,Phosphorus-rich,Pesticide Spray,78,2581,365
Sugarcane,Loamy,"Warm, Moderate",Weekly,Organic Compost,Biological Control,179,5172,571
Barley,Sandy,"Warm, Moderate",Daily,Potassium-rich,Pesticide Spray,102,5939,238
Cotton,Clayey,"Moderate, Dry",Twice a Week,Nitrogen-based,Crop Rotation,146,3880,593
Cotton,Loamy,"Cool, Moist",Twice a Week,Phosphorus-rich,Neem Spray,79,5164,386
Barley,Clayey,"Cool, Moist",Every 2 Days,Phosphorus-rich,Crop Rotation,121,2581,483
Maize,Loamy,"Cool, Dry",Weekly,Nitrogen-based,Crop Rotation,113,3691,536
Sugarcane,Clayey,"Warm, Moderate",Twice a Week,Nitrogen-based,Pesticide Spray,134,2589,369
Tomato,Sandy,"Cool, Dry",Every 2 Days,Potassium-rich,Pesticide Spray,172,5680,500
Maize,Sandy Loam,"Warm, Humid",Weekly,NPK Mix,Biological Control,76,4018,535
Barley,Clayey,"Warm, Humid",Every 2 Days,Potassium-rich,Neem Spray,180,2656,197
Soybean,Clayey,"Warm, Moderate",Twice a Week,Organic Compost,Pesticide Spray,89,5034,372
Barley,Loamy,"Warm, Moderate",Weekly,Organic Compost,Biological Control,107,3769,576
Maize,Sandy Loam,"Warm, Moderate",Every 3 Days,Potassium-rich,Manual Removal,99,3402,169
Tomato,Sandy Loam,"Warm, Moderate",Every 3 Days,Organic Compost,Crop Rotation,108,2952,304
Wheat,Clayey,"Moderate, Dry",Every 3 Days,Nitrogen-based,Crop Rotation,129,4286,256
Sugarcane,Sandy Loam,"Cool, Dry",Daily,Phosphorus-rich,Neem Spray,153,4570,574
Maize,Clayey,"Warm, Moderate",Weekly,Potassium-rich,Crop Rotation,146,5846,543
Potato,Sandy,"Warm, Humid",Weekly,Nitrogen-based,Biological Control,108,2122,179
Cotton,Clayey,"Warm, Humid",Weekly,Nitrogen-based,Neem Spray,101,4963,523
Rice,Clayey,"Cool, Dry",Every 3 Days,Potassium-rich,Crop Rotation,176,5959,516
Maize,Clayey,"Moderate, Dry",Daily,NPK Mix,Neem Spray,65,5823,543
Wheat,Loamy,"Cool, Dry",Every 2 Days,Potassium-rich,Pesticide Spray,177,2864,207
Tomato,Sandy Loam,"Warm, Humid",Twice a Week,Organic Compost,Manual Removal,64,2403,379
Potato,Loamy,"Cool, Dry",Daily,Nitrogen-based,Biological Control,121,2955,273
Potato,Sandy,"Cool, Moist",Every 2 Days,Nitrogen-based,Manual Removal,66,5201,255
Wheat,Clay Loam,"Warm, Moderate",Daily,Organic Compost,Crop Rotation,68,5527,592
Onion,Sandy,"Cool, Dry",Twice a Week,Potassium-rich,Neem Spray,160,3339,235
Soybean,Clay Loam,"Cool, Dry",Every 2 Days,Organic Compost,Manual Removal,118,5750,224
Maize,Sandy Loam,"Warm, Moderate",Weekly,Potassium-rich,Biological Control,101,2769,303
Cotton,Clay Loam,"Moderate, Dry",Weekly,Phosphorus-rich,Neem Spray,113,4875,357
Cotton,Loamy,"Cool, Dry",Daily,Organic Compost,Biological Control,137,5713,285
Sugarcane,Sandy,"Warm, Humid",Weekly,Potassium-rich,Manual Removal,156,5868,464
Tomato,Clay Loam,"Moderate, Dry",Weekly,NPK Mix,Biological Control,179,2462,512
Potato,Loamy,"Cool, Dry",Twice a Week,Nitrogen-based,Crop Rotation,165,4610,302
Sugarcane,Sandy,"Warm, Humid",Every 2 Days,Phosphorus-rich,Crop Rotation,160,3877,223
Sugarcane,Clayey,"Moderate, Dry",Twice a Week,NPK Mix,Biological Control,98,3812,507
Wheat,Sandy Loam,"Cool, Moist",Daily,Potassium-rich,Neem Spray,76,5626,472
Potato,Clayey,"Moderate, Dry",Daily,Potassium-rich,Neem Spray,146,2041,200
Potato,Sandy Loam,"Warm, Humid",Weekly,NPK Mix,Biological Control,95,3161,591
Potato,Clay Loam,"Warm, Humid",Twice a Week,Organic Compost,Crop Rotation,106,4215,406
Soybean,Clay Loam,"Cool, Moist",Every 2 Days,Potassium-rich,Neem Spray,140,4916,577
Tomato,Loamy,"Cool, Dry",Every 2 Days,Potassium-rich,Pesticide Spray,67,5736,414
Onion,Clay Loam,"Warm, Moderate",Every 2 Days,Potassium-rich,Biological Control,125,5930,443
Sugarcane,Sandy,"Warm, Humid",Every 3 Days,Potassium-rich,Crop Rotation,116,4380,405
Wheat,Clayey,"Cool, Dry",Weekly,Nitrogen-based,Biological Control,102,4371,200
Barley,Sandy Loam,"Warm, Moderate",Every 3 Days,Potassium-rich,Biological Control,178,4056,165
Barley,Clayey,"Warm, Moderate",Twice a Week,Phosphorus-rich,Pesticide Spray,142,2003,427
Potato,Sandy,"Warm, Humid",Daily,Potassium-rich,Manual Removal,163,5001,579
Barley,Sandy Loam,"Moderate, Dry",Every 3 Days,Nitrogen-based,Crop Rotation,63,3818,386
Rice,Sandy Loam,"Cool, Moist",Weekly,Nitrogen-based,Neem Spray,130,2222,216
Rice,Clayey,"Warm, Moderate",Twice a Week,Nitrogen-based,Crop Rotation,158,2926,245
Rice,Loamy,"Warm, Moderate",Weekly,NPK Mix,Manual Removal,150,3206,523
Potato,Sandy,"Warm, Humid",Weekly,NPK Mix,Neem Spray,162,4280,251
Barley,Sandy Loam,"Moderate, Dry",Daily,Phosphorus-rich,Biological Control,153,3327,414
Onion,Clayey,"Cool, Moist",Every 2 Days,Nitrogen-based,Pesticide Spray,90,5995,159
Onion,Sandy Loam,"Cool, Dry",Twice a Week,Organic Compost,Neem Spray,109,5095,192
Soybean,Sandy Loam,"Cool, Dry",Daily,Nitrogen-based,Pesticide Spray,151,4194,379
Rice,Sandy Loam,"Cool, Moist",Weekly,NPK Mix,Biological Control,81,2696,580
Rice,Sandy Loam,"Cool, Dry",Weekly,Organic Compost,Pesticide Spray,73,2191,244
Sugarcane,Sandy,"Cool, Dry",Every 2 Days,Nitrogen-based,Neem Spray,117,3057,597
Cotton,Clay Loam,"Warm, Humid",Twice a Week,Phosphorus-rich,Neem Spray,137,2781,468
Maize,Clayey,"Moderate, Dry",Every 3 Days,Potassium-rich,Biological Control,69,5897,236
Tomato,Clayey,"Warm, Moderate",Every 3 Days,Nitrogen-based,Manual Removal,117,2225,581
Potato,Sandy Loam,"Moderate, Dry",Weekly,Nitrogen-based,Neem Spray,67,3000,278
Potato,Clay Loam,"Cool, Dry",Weekly,Phosphorus-rich,Neem Spray,88,4024,401
Rice,Loamy,"Warm, Moderate",Twice a Week,Organic Compost,Manual Removal,163,5243,391
Wheat,Sandy Loam,"Warm, Moderate",Every 2 Days,NPK Mix,Pesticide Spray,86,5163,170
Onion,Clayey,"Warm, Humid",Weekly,Organic Compost,Biological Control,137,5568,561
Potato,Sandy Loam,"Warm, Moderate",Every 3 Days,Nitrogen-based,Pesticide Spray,67,5167,169
Maize,Loamy,"Warm, Humid",Daily,Phosphorus-rich,Neem Spray,118,5168,491
Soybean,Sandy Loam,"Cool, Moist",Twice a Week,Potassium-rich,Biological Control,180,3924,475
Potato,Clay Loam,"Warm, Moderate",Every 3 Days,Organic Compost,Crop Rotation,177,2666,468
Sugarcane,Sandy,"Moderate, Dry",Every 2 Days,Potassium-rich,Biological Control,170,5563,595
Wheat,Loamy,"Warm, Humid",Twice a Week,Potassium-rich,Pesticide Spray,127,3067,325
Barley,Clayey,"Cool, Dry",Every 2 Days,NPK Mix,Biological Control,96,2230,234
Cotton,Loamy,"Warm, Humid",Weekly,Nitrogen-based,Manual Removal,163,3748,586
Sugarcane,Loamy,"Cool, Moist",Weekly,Phosphorus-rich,Manual Removal,161,4626,531
Barley,Loamy,"Warm, Moderate",Daily,Potassium-rich,Neem Spray,167,5593,367
Onion,Sandy,"Warm, Humid",Every 2 Days,Organic Compost,Pesticide Spray,126,2989,156
Soybean,Clayey,"Warm, Moderate",Daily,Organic Compost,Biological Control,63,4042,559
Tomato,Clayey,"Cool, Moist",Weekly,Organic Compost,Manual Removal,82,5896,265
Tomato,Clay Loam,"Cool, Moist",Every 3 Days,Phosphorus-rich,Manual Removal,143,2249,542
Soybean,Clay Loam,"Moderate, Dry",Every 3 Days,Potassium-rich,Crop Rotation,83,2281,267
Potato,Sandy Loam,"Warm, Humid",Every 2 Days,Phosphorus-rich,Manual Removal,105,3430,164
Potato,Sandy Loam,"Cool, Moist",Every 2 Days,Organic Compost,Neem Spray,122,5249,595
Wheat,Clay Loam,"Cool, Moist",Daily,Nitrogen-based,Manual Removal,70,2407,333
Sugarcane,Clayey,"Moderate, Dry",Weekly,NPK Mix,Manual Removal,121,3375,451
Rice,Clay Loam,"Moderate, Dry",Daily,Organic Compost,Neem Spray,101,5289,310
Potato,Sandy,"Warm, Moderate",Every 3 Days,Organic Compost,Neem Spray,100,5371,433
Tomato,Sandy,"Moderate, Dry",Every 3 Days,Potassium-rich,Pesticide Spray,81,5272,443
Maize,Sandy,"Warm, Moderate",Twice a Week,Phosphorus-rich,Biological Control,93,3111,453
Cotton,Clay Loam,"Cool, Moist",Daily,Organic Compost,Manual Removal,87,2829,565
Tomato,Sandy,"Warm, Humid",Every 2 Days,Potassium-rich,Manual Removal,121,2473,510
Soybean,Clayey,"Warm, Moderate",Twice a Week,Potassium-rich,Manual Removal,168,2945,558
Wheat,Sandy,"Warm, Moderate",Every 2 Days,Organic Compost,Neem Spray,94,4453,205
Maize,Clay Loam,"Cool, Dry",Daily,Organic Compost,Biological Control,103,3405,246
Potato,Clay Loam,"Cool, Dry",Weekly,Nitrogen-based,Pesticide Spray,164,3225,332
Cotton,Clay Loam,"Warm, Humid",Every 3 Days,Organic Compost,Crop Rotation,80,2856,514
Tomato,Clayey,"Cool, Dry",Daily,NPK Mix,Pesticide Spray,170,4134,583
Rice,Sandy,"Cool, Moist",Every 3 Days,Phosphorus-rich,Pesticide Spray,157,5978,188
Soybean,Loamy,"Cool, Moist",Every 2 Days,Phosphorus-rich,Crop Rotation,101,3548,223
Potato,Loamy,"Cool, Dry",Twice a Week,NPK Mix,Crop Rotation,91,2629,290
Soybean,Clay Loam,"Cool, Dry",Twice a Week,Nitrogen-based,Biological Control,160,2531,156
Rice,Sandy Loam,"Moderate, Dry",Every 3 Days,NPK Mix,Pesticide Spray,172,2610,190
Onion,Clayey,"Cool, Moist",Weekly,Potassium-rich,Biological Control,146,5094,582
Sugarcane,Clay Loam,"Warm, Moderate",Weekly,NPK Mix,Neem Spray,93,5379,544
Soybean,Sandy Loam,"Warm, Moderate",Twice a Week,NPK Mix,Neem Spray,127,4527,579
Soybean,Sandy,"Moderate, Dry",Twice a Week,Organic Compost,Neem Spray,62,2329,233
Onion,Clayey,"Warm, Humid",Every 2 Days,Phosphorus-rich,Neem Spray,117,2099,361
Onion,Clay Loam,"Warm, Humid",Twice a Week,Nitrogen-based,Pesticide Spray,94,5403,525
Maize,Clayey,"Cool, Dry",Daily,Phosphorus-rich,Biological Control,60,3942,475
Potato,Sandy,"Moderate, Dry",Twice a Week,Phosphorus-rich,Pesticide Spray,162,4820,465
Maize,Clay Loam,"Cool, Dry",Daily,Organic Compost,Crop Rotation,68,5105,491
Maize,Clayey,"Cool, Dry",Every 2 Days,Phosphorus-rich,Biological Control,85,5822,465
Wheat,Clayey,"Cool, Dry",Twice a Week,Organic Compost,Neem Spray,112,4998,450
Barley,Loamy,"Moderate, Dry",Daily,NPK Mix,Biological Control,156,5323,590
Potato,Sandy,"Warm, Moderate",Daily,Nitrogen-based,Biological Control,90,5292,384
Sugarcane,Sandy Loam,"Warm, Moderate",Every 2 Days,NPK Mix,Neem Spray,133,4060,509
Wheat,Clay Loam,"Warm, Moderate",Weekly,Nitrogen-based,Manual Removal,128,4461,369
Maize,Clay Loam,"Warm, Humid",Daily,Phosphorus-rich,Manual Removal,166,2282,469
Tomato,Clay Loam,"Moderate, Dry",Twice a Week,NPK Mix,Pesticide Spray,145,3962,419
Soybean,Sandy,"Warm, Moderate",Every 2 Days,Potassium-rich,Biological Control,137,2193,367
Tomato,Loamy,"Warm, Humid",Daily,Potassium-rich,Biological Control,70,5524,596
Onion,Loamy,"Cool, Dry",Twice a Week,Potassium-rich,Neem Spray,126,3981,521
Onion,Sandy,"Warm, Humid",Every 2 Days,NPK Mix,Crop Rotation,82,2572,172
Tomato,Clayey,"Warm, Humid",Daily,Nitrogen-based,Biological Control,158,3200,252
Tomato,Clay Loam,"Cool, Moist",Every 3 Days,Organic Compost,Pesticide Spray,61,2271,342
Tomato,Clayey,"Cool, Moist",Daily,Potassium-rich,Biological Control,95,2576,158
Onion,Loamy,"Warm, Humid",Daily,Organic Compost,Crop Rotation,157,3479,157
Soybean,Loamy,"Warm, Humid",Daily,NPK Mix,Pesticide Spray,99,4413,552
Rice,Loamy,"Warm, Moderate",Every 3 Days,Phosphorus-rich,Biological Control,101,3350,153
Sugarcane,Loamy,"Warm, Moderate",Every 3 Days,Nitrogen-based,Biological Control,169,3127,221
Rice,Clayey,"Cool, Moist",Every 2 Days,Nitrogen-based,Biological Control,93,3974,247
Rice,Sandy Loam,"Cool, Dry",Every 2 Days,Potassium-rich,Biological Control,96,4955,332
Potato,Clayey,"Cool, Moist",Every 2 Days,Potassium-rich,Biological Control,89,3953,409
Maize,Sandy Loam,"Cool, Dry",Weekly,Potassium-rich,Manual Removal,62,4995,533
Cotton,Loamy,"Cool, Dry",Every 2 Days,Phosphorus-rich,Pesticide Spray,163,5975,425
